id	choice1	choice2	choice3	choice4	choice5	choice6	choice7	choice8	choice9	choice10	treatment
1	A	A	A	A	B	B	B	B	B	B	1
3	A	A	A	A	A	A	B	B	B	B	1
4	A	A	A	A	A	A	B	B	B	B	1
5	A	A	A	A	A	A	A	B	B	B	1
6	A	A	A	A	A	A	B	B	B	B	1
8	A	A	A	A	A	A	A	B	B	B	1
9	A	A	A	A	B	B	B	B	B	B	1
10	A	A	A	B	B	B	B	B	B	B	1
11	A	A	B	B	B	B	B	B	B	B	1
12	A	A	A	A	A	A	B	B	B	B	1
13	A	A	A	A	A	A	A	A	B	B	1
14	A	A	A	B	B	B	B	B	B	B	1
15	A	A	A	A	A	B	B	B	B	B	1
16	A	A	A	A	A	A	B	B	B	B	1
17	A	A	A	A	A	A	A	A	B	B	1
1	A	A	A	A	B	B	B	B	B	B	2
3	A	A	A	A	A	A	B	B	B	B	2
4	A	A	A	A	A	A	A	A	B	B	2
5	A	A	A	A	A	B	B	B	B	B	2
6	A	A	A	A	B	B	B	B	B	B	2
7	A	A	A	A	A	A	B	B	B	B	2
8	A	A	A	A	A	A	B	B	B	B	2
9	A	A	A	A	A	A	B	B	B	B	2
10	A	A	A	A	B	B	B	B	B	B	2
11	A	A	A	A	A	A	A	A	A	B	2
12	A	A	A	B	B	B	B	B	B	B	2
13	A	A	A	A	A	A	A	A	B	B	2
15	A	A	A	A	A	A	A	A	A	B	2
16	A	A	A	B	B	B	B	B	B	B	2
17	A	A	A	A	A	A	A	A	B	B	2
18	A	A	A	A	A	B	B	B	B	B	2
