Ventilation mode,Ceiling fan,Temperature1,SPL,TS_id02,TS_id03,TS_id05,TS_id06,Temperature2,TS_id07,TS_id09,TS_id10,TS_id11,TS_id12,Temperature3,TS_id13,TS_id14,TS_id15,TS_id16,TS_id17,TS_id18,Temperature4,TS_id19,TS_id20,TS_id21,TS_id22,TS_id23,TS_id24,TA_id02,TA_id03,TA_id05,TA_id06,TA_id07,TA_id09,TA_id10,TA_id11,TA_id12,TA_id13,TA_id14,TA_id15,TA_id16,TA_id17,TA_id18,TA_id19,TA_id20,TA_id21,TA_id22,TA_id23,TA_id24,AA_id02,AA_id03,AA_id05,AA_d06,AA_id07,AA_id09,AA_id10,AA_id11,AA_id12,AA_id13,AA_id14,AA_id15,AA_id16,AA_id17,AA_id18,AA_id19,AA_id20,AA_id21,AA_id22,AA_id23,AA_id24
AC,0,27.4,40,Slightly Warm,Neutral,Warm,Neutral,26.9,Neutral,Slightly Warm,Cool,Slightly Warm,Cool,27.03,Neutral,Slightly Warm,Slightly Warm,Slightly Warm,Warm,,26.8,Neutral,Cool,Slightly Warm,Neutral,Slightly Warm,Neutral,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Clearly unacceptable,0,Just acceptable,Clearly acceptable,Just unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
AC,0,27.4,40,Slightly Warm,Neutral,Warm,Neutral,26.9,Neutral,Slightly Warm,Cool,Slightly Warm,Cool,27.03,Neutral,Slightly Warm,Slightly Warm,Slightly Warm,Warm,,26.8,Neutral,Cool,Slightly Warm,Neutral,Slightly Warm,Neutral,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Clearly unacceptable,0,Just acceptable,Clearly acceptable,Just unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
AC,0,,45,,,,,,,,,,,27.3,Neutral,Slightly Cool,Neutral,Slightly Warm,Slightly Warm,Neutral,27.15,Neutral,Neutral,Slightly Warm,Slightly Warm,Warm,Neutral,,,,,,,,,,Just acceptable,Just unacceptable,Just acceptable,Just unacceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly unacceptable,Clearly acceptable,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all
AC,1,27.5,40,Slightly Warm,Neutral,Slightly Warm,Neutral,26.8,Slightly Warm,Slightly Warm,Cool,Slightly Cool,Slightly Cool,26.71,Slightly Cool,Slightly Warm,Slightly Warm,Neutral,Neutral,Neutral,26.7,Neutral,Slightly Cool,Neutral,Neutral,Slightly Cool,Neutral,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just unacceptable,Just unacceptable,Just acceptable,Just unacceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Slightly,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
AC,0,27.4,40,Slightly Warm,Neutral,Warm,Neutral,26.9,Neutral,Slightly Warm,Cool,Slightly Warm,Cool,27.03,Neutral,Slightly Warm,Slightly Warm,Slightly Warm,Warm,,26.8,Neutral,Cool,Slightly Warm,Neutral,Slightly Warm,Neutral,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Clearly unacceptable,0,Just acceptable,Clearly acceptable,Just unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
AC,1,,45,,,,,,,,,,,27.75,Slightly Cool,Slightly Cool,Slightly Warm,Neutral,,Neutral,27.69,Neutral,Slightly Cool,Slightly Cool,Neutral,,Slightly Warm,,,,,,,,,,Just acceptable,Just acceptable,Just acceptable,Just acceptable,,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,,Just acceptable,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,,Moderately,Not at all,Not at all,Slightly,Slightly,,Not at all
AC,2,27.4,40,Slightly Warm,Slightly Cool,Neutral,Neutral,26.8,Slightly Warm,Slightly Warm,Cool,Slightly Cool,Slightly Cool,26.75,Slightly Cool,Slightly Cool,Neutral,Neutral,Slightly Warm,Neutral,26.6,Neutral,Cool,Neutral,Neutral,Slightly Cool,Neutral,Just acceptable,Clearly acceptable,Just unacceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Just acceptable,Just unacceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all,Not at all,Slightly,Slightly,Not at all
AC,0,27.4,40,Slightly Warm,Neutral,Warm,Neutral,26.9,Neutral,Slightly Warm,Cool,Slightly Warm,Cool,27.03,Neutral,Slightly Warm,Slightly Warm,Slightly Warm,Warm,,26.8,Neutral,Cool,Slightly Warm,Neutral,Slightly Warm,Neutral,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Clearly unacceptable,0,Just acceptable,Clearly acceptable,Just unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
AC,2,,45,,,,,,,,,,,26.9,Slightly Cool,Cool,Slightly Cool,Neutral,Neutral,Slightly Cool,26.5,Neutral,Slightly Cool,Slightly Cool,Slightly Cool,Neutral,Neutral,,,,,,,,,,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,,,,,,,,,,Not at all,Not at all,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all
NV,0,28.8,45,Slightly Warm,Slightly Warm,Slightly Warm,Warm,28.18,Neutral,Slightly Warm,Warm,Warm,Neutral,28.58,Slightly Warm,Hot,Warm,Slightly Warm,Warm,Slightly Warm,28.16,Slightly Warm,Cool,Slightly Warm,Neutral,Cool,Slightly Warm,Clearly unacceptable,Just unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Just unacceptable,Clearly unacceptable,Clearly unacceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Just acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Slightly,Slightly,Not at all,Slightly,Slightly,Slightly,Moderately,Not at all,Moderately,Not at all,Not at all,Slightly,Not at all,Slightly,Moderately,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
NV,0,27,50,Neutral,Cool,Slightly Cool,Slightly Cool,26.5,Neutral,Slightly Warm,Cool,Slightly Cool,Slightly Cool,26.7,Slightly Cool,Cool,Neutral,Neutral,Neutral,Neutral,26.3,Neutral,Cool,Cool,Neutral,Slightly Cool,Cool,Just acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Not at all,Slightly,Not at all,Slightly,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Slightly,Moderately,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all
NV,0,29,55,Slightly Warm,Slightly Warm,Neutral,Slightly Warm,28.29,Slightly Warm,Neutral,Warm,Warm,Neutral,28.33,Slightly Warm,Hot,Slightly Warm,Slightly Warm,Slightly Warm,Neutral,28.19,Slightly Warm,Neutral,Slightly Warm,Slightly Warm,Slightly Warm,Slightly Warm,Just unacceptable,Just unacceptable,Just unacceptable,Just acceptable,Just acceptable,Just acceptable,Clearly unacceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly unacceptable,Just acceptable,Just acceptable,Just unacceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just unacceptable,Just unacceptable,Not at all,Moderately,Moderately,Moderately,Moderately,Moderately,Very,Not at all,Slightly,Slightly,Slightly,Slightly,Slightly,Slightly,Extremely,Not at all,Slightly,Moderately,Moderately,Slightly,Very
NV,0,28.08,60,Warm,Warm,Slightly Warm,Warm,27.05,Warm,,Slightly Cool,Hot,Warm,27.55,Warm,Warm,Slightly Warm,Warm,Warm,Neutral,27.24,Slightly Warm,Slightly Warm,Warm,Neutral,Hot,Slightly Warm,Clearly unacceptable,Clearly unacceptable,Just unacceptable,Just unacceptable,Just acceptable,,Just acceptable,Clearly unacceptable,Just acceptable,Just unacceptable,Clearly unacceptable,Just unacceptable,Just unacceptable,Clearly unacceptable,Just acceptable,Just unacceptable,Just acceptable,Clearly unacceptable,Just acceptable,Clearly unacceptable,Just unacceptable,Moderately,Moderately,Slightly,Very,Moderately,,Very,Very,Moderately,Moderately,Slightly,Slightly,Moderately,Slightly,Very,Not at all,Slightly,Very,Slightly,Slightly,Not at all
NV,3,29.16,45,Slightly Warm,Slightly Cool,Slightly Cool,Neutral,28.48,Neutral,Neutral,Slightly Cool,Slightly Warm,Slightly Cool,28.91,Slightly Cool,Neutral,Neutral,Neutral,Slightly Warm,Neutral,28.42,Neutral,Cool,Neutral,Slightly Cool,Slightly Cool,Neutral,Just unacceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Just unacceptable,Clearly acceptable,Just acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Slightly,Slightly,Not at all,Slightly,Slightly,Slightly,Slightly,Not at all,Slightly,Not at all,Not at all,Slightly,Not at all,Slightly,Moderately,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all
NV,3,27.35,50,Slightly Warm,Warm,Warm,Neutral,26.8,Neutral,Slightly Warm,Slightly Cool,Slightly Warm,Neutral,27,Slightly Cool,Cool,Slightly Warm,Neutral,Neutral,Neutral,26.6,Neutral,Cool,Neutral,Neutral,Neutral,Neutral,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just unacceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Not at all,Slightly,Not at all,Not at all,Slightly,Not at all,Not at all,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Slightly,Moderately,Not at all,Not at all,Slightly,Slightly,Not at all,Not at all
NV,3,29.04,55,Slightly Warm,Neutral,Slightly Cool,Slightly Warm,27.59,Neutral,Neutral,Slightly Cool,Slightly Cool,Slightly Cool,27.4,Neutral,Slightly Cool,Neutral,Cool,Neutral,Neutral,27.37,Neutral,,Slightly Cool,Slightly Cool,Slightly Cool,Slightly Cool,Just acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,,Just acceptable,Clearly acceptable,Clearly acceptable,Just acceptable,Slightly,Moderately,Slightly,Slightly,Moderately,Moderately,Very,Not at all,Very,Moderately,Moderately,Moderately,Slightly,Not at all,Very,Not at all,,Very,Moderately,Moderately,Very
NV,3,28.29,60,Slightly Warm,Slightly Cool,Slightly Cool,Neutral,27.44,Neutral,Slightly Warm,Slightly Cool,Cool,Neutral,28.02,Neutral,Slightly Cool,Neutral,Neutral,Neutral,Neutral,27.56,Neutral,Neutral,Neutral,Slightly Cool,Neutral,Neutral,Just unacceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just unacceptable,Clearly acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Just acceptable,Clearly acceptable,Just acceptable,Just acceptable,Clearly acceptable,Clearly acceptable,Moderately,Moderately,Slightly,Moderately,Very,Slightly,Very,Moderately,Moderately,Moderately,Slightly,Slightly,Moderately,Slightly,Very,Not at all,Slightly,Very,Slightly,Slightly,Not at all
