No,l,h,g,Abs_mat,w,ol,Measured_Rw,DoubleGlassRw,CompositeClosedRw,R_100,R_125,R_160,R_200,R_250,R_315,R_400,R_500,R_630,R_800,R_1000,R_1250,R_1600,R_2000,R_2500,R_3150,abs_100,abs_125,abs_160,abs_200,abs_250,abs_315,abs_400,abs_500,abs_630,abs_800,abs_1000,abs_1250,abs_1600,abs_2000,abs_2500,abs_3150,
1,2400,1300,200,No,200,2000,17,35,,3.8,7.4,9,8,6.8,12.5,15,17.5,20.2,17.5,17.5,17.3,17.7,17.2,17.7,17.9,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
2,2400,1300,200,Yes,25,2350,31,35,,9,20,17.3,19,23,28,32.3,34,34.5,32,33,30.6,28,29.8,33,32.5,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
3,2400,1300,200,Yes,50,2300,28,35,,7.5,16,15.3,17.5,20,26.5,30,32,32.5,27.5,27,28,28.5,27.3,29,32.3,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
4,2400,1300,200,Yes,100,2200,26,35,,7.5,12,13,13.5,15,22.5,27,28,25.8,22.5,27,26,27.8,26,27,26.5,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
5,2400,1300,200,Yes,200,2000,23,35,,7,8,11,12,12.3,19.9,24.8,23,27,27.5,23,23,24,23,24,23.8,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
6,1300,2400,200,Yes,25,1250,26,35,,8,12,12.2,14.8,19.8,23,25.2,29.8,32,25,24.3,22.2,24,27.5,30.8,32,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
7,1300,2400,200,Yes,50,1200,24,35,,8,10.4,10.1,12,18,21,22.5,27.5,28.3,20.5,20.6,22.6,25,27,27.5,27.6,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
8,1300,2400,200,Yes,100,1100,22,35,,10.3,7.8,8.2,8,15,17.2,19,25,25,19,22.9,24.9,22.4,22,24.7,24.5,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
9,1300,2400,200,Yes,200,900,19,35,,8,6.8,6.9,7,11,15.2,18,18,22.5,22.6,19,17.8,18,17.9,19,20.3,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
10,2600,1350,205,No,950,700,12,35,,4.6,8.8,10.1,14.8,10.7,7.2,10.4,11.6,14.6,12.7,12.1,9.6,9.3,13,11.3,15.2,0.01,0.02,0.09,0.16,0.24,0.36,0.49,0.64,0.78,0.78,0.82,0.81,0.74,0.7,0.65,0.64,
