"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/06/2023","19.334,00","18.198,50","19.475,00","18.176,00","2,00B","6,03%"
"01/05/2023","18.234,27","20.122,90","20.344,50","18.044,86","4,37B","-8,35%"
"01/04/2023","19.894,57","20.387,00","20.876,50","19.536,00","2,57B","-2,48%"
"01/03/2023","20.400,11","19.849,97","21.005,66","18.829,11","62,86B","3,10%"
"01/02/2023","19.785,94","21.920,80","22.311,96","19.783,07","40,31B","-9,41%"
"01/01/2023","21.842,33","19.570,43","22.700,85","19.303,73","46,99B","10,42%"
"01/12/2022","19.781,41","19.058,90","20.099,77","18.530,82","57,62B","6,37%"
"01/11/2022","18.597,23","14.859,92","18.645,35","14.859,92","75,23B","26,62%"
"01/10/2022","14.687,02","17.050,25","18.164,20","14.597,31","45,82B","-14,72%"
"01/09/2022","17.222,83","19.761,72","19.839,51","17.016,28","42,07B","-13,69%"
"01/08/2022","19.954,39","20.026,60","20.283,59","19.189,54","40,16B","-1,00%"
"01/07/2022","20.156,51","21.690,68","22.198,51","20.050,05","37,73B","-7,79%"
"01/06/2022","21.859,79","21.407,79","22.449,31","20.697,17","51,40B","2,08%"
"01/05/2022","21.415,20","20.927,62","21.415,20","19.178,89","42,72B","1,54%"
"01/04/2022","21.089,39","21.693,10","22.523,64","19.665,49","39,46B","-4,13%"
"01/03/2022","21.996,85","22.739,84","22.937,56","18.235,48","71,31B","-3,15%"
"01/02/2022","22.713,02","24.392,86","25.050,59","22.406,12","36,90B","-4,58%"
"01/01/2022","23.802,26","23.510,54","24.982,03","22.709,60","41,54B","1,73%"
"01/12/2021","23.397,67","23.595,57","24.385,44","22.665,25","35,47B","-0,33%"
"01/11/2021","23.475,26","25.268,35","25.746,71","23.175,37","36,87B","-7,49%"
"01/10/2021","25.377,24","24.478,68","26.234,94","23.681,44","33,22B","3,26%"
"01/09/2021","24.575,64","25.871,82","26.560,04","23.771,46","47,17B","-5,04%"
"01/08/2021","25.878,99","26.054,81","26.822,47","24.581,60","42,63B","-0,32%"
"01/07/2021","25.961,03","28.859,02","28.859,02","24.748,84","49,24B","-9,94%"
