"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/06/2023","6.694,02","6.633,26","6.703,82","6.579,04","18,28B","0,92%"
"01/05/2023","6.633,26","6.917,82","6.917,82","6.562,96","61,51B","-4,08%"
"01/04/2023","6.915,72","6.805,28","6.969,60","6.736,90","13,06B","1,62%"
"01/03/2023","6.805,28","6.843,10","6.889,51","6.542,79","323,05B","-0,55%"
"01/02/2023","6.843,24","6.838,92","6.961,92","6.781,23","324,33B","0,06%"
"01/01/2023","6.839,34","6.850,74","6.932,71","6.557,92","330,67B","-0,16%"
"01/12/2022","6.850,62","7.081,19","7.090,28","6.641,81","341,62B","-3,26%"
"01/11/2022","7.081,31","7.098,93","7.128,14","6.955,53","397,76B","-0,25%"
"01/10/2022","7.098,89","7.040,80","7.135,91","6.747,38","424,48B","0,83%"
"01/09/2022","7.040,80","7.178,59","7.377,50","6.926,86","583,83B","-1,92%"
"01/08/2022","7.178,59","6.951,12","7.230,11","6.902,63","526,65B","3,27%"
"01/07/2022","6.951,12","6.911,58","7.032,35","6.559,64","400,21B","0,57%"
"01/06/2022","6.911,58","7.130,60","7.258,00","6.859,60","488,88B","-3,32%"
"01/05/2022","7.148,97","7.154,92","7.156,48","6.509,88","303,22B","-1,11%"
"01/04/2022","7.228,91","7.093,70","7.355,30","7.040,49","414,23B","2,23%"
"01/03/2022","7.071,44","6.964,70","7.099,50","6.814,18","462,33B","2,66%"
"01/02/2022","6.888,17","6.657,79","6.929,91","6.648,08","405,29B","3,88%"
"01/01/2022","6.631,15","6.586,26","6.738,11","6.523,93","371,37B","0,75%"
"01/12/2021","6.581,48","6.544,52","6.688,38","6.484,58","437,38B","0,73%"
"01/11/2021","6.533,93","6.618,12","6.754,46","6.480,01","418,82B","-0,87%"
"01/10/2021","6.591,35","6.269,24","6.687,13","6.202,91","396,07B","4,84%"
"01/09/2021","6.286,94","6.157,82","6.286,94","5.982,77","435,97B","2,22%"
"01/08/2021","6.150,30","6.098,01","6.263,54","5.938,41","421,90B","1,32%"
"01/07/2021","6.070,04","6.001,12","6.166,31","5.947,62","322,57B","1,41%"
