DRAWPOINT ID,OBS. DATE,Extraction Rate,HOD,Specific UI,%MATERIAL TYPE,%FRAGMENTATION,Water,CLASSDP_ACTUAL,CLASSDP_ACTUAL_Ajd_Smote
P13_47S,12/17/2021,95.63079103,32.59730992,2,80,50,2,3,1
P13_48S,12/17/2021,96.52705041,33.03380928,1,80,55,2,3,1
P13_49S,12/17/2021,147.1931629,29.46527679,1.1,80,50,2,3,1
P14_44S,12/17/2021,252.1307302,36.91385313,4,80,300,0.01,1,1
P14_47N,12/17/2021,127.7034245,35.88093669,4,80,45.5,2,3,1
P14_48N,12/17/2021,113.396989,34.82121944,1.1,80,50,0.01,1,1
P14_48S,12/17/2021,213.6614435,42.39217078,4.2,80,50,0.01,1,1
P14_49N,12/17/2021,173.433569,30.65234277,1.2,80,50,2,3,1
P14_49S,12/17/2021,187.0995824,34.38889356,2.1,80,50,2,3,1
P16_40S,12/28/2021,120.7986255,32.58547481,2,80,147.5,0.01,1,1
P16_41S,12/28/2021,122.5250992,39.14321835,3.2,80,155,0.01,1,1
P16_42N,12/28/2021,200.1945991,34.72288365,2.3,80,55,0.01,1,1
P16_42S,12/28/2021,101.3072523,44.03281989,2.1,80,170,0.01,1,1
P16_43N,12/28/2021,128.1750473,45.38976109,1.1,80,102.5,0.01,1,1
P16_43S,12/28/2021,136.5414205,55.6414991,2.3,80,72.5,0.01,1,1
P16_44N,12/28/2021,150.2746,53.57705179,0.1,80,300,2,3,1
P16_44S,12/28/2021,125.63616,57.05734875,2.1,80,72.5,2,3,1
P16_45N,12/28/2021,119.8653234,51.48859799,0.1,80,70,2,3,1
P16_45S,12/28/2021,128.966096,58.73280807,2.3,80,50,2,3,1
P16_46N,12/28/2021,101.8208905,49.1102685,0.1,80,60,2,3,1
P16_46S,12/28/2021,77.6316899,44.98702129,2.2,74,47.75,1,2,1
P16_47N,12/28/2021,99.85085609,47.29377222,0.1,80,70,2,3,1
P16_47S,12/28/2021,100.0883967,51.7606818,2.2,80,50,0.01,1,1
P16_48S,12/28/2021,73.7556924,33.43087034,3.2,77,47.75,1,2,1
P16_49N,12/28/2021,64.44907137,28.94454526,1.2,77,47.75,1,2,1
P17_38S,1/14/2022,131.8184984,39.75463111,1.1,80,147.5,0.01,1,1
P17_39S,1/14/2022,155.8589606,48.78303189,3.1,80,72.5,0.01,1,1
P17_40S,1/14/2022,175.3635354,56.62664887,0.3,80,60,0.01,1,1
P17_41N,1/14/2022,146.4346817,42.33116269,1,80,130,0.01,1,1
P17_41S,1/14/2022,173.4663955,64.31456882,0.3,80,300,0.01,1,1
P17_42N,1/14/2022,150.6061748,54.36211795,4,80,300,2,3,1
P17_42S,1/14/2022,162.188541,68.56687682,1.4,80,62.5,0.01,1,1
P17_43N,1/14/2022,158.4440404,60.90855769,1.4,80,55,2,3,1
P17_43S,1/14/2022,146.1953385,64.40259309,0.1,80,102.5,0.01,1,1
P17_44N,1/14/2022,148.5217133,63.2963865,0.1,80,187.5,0.01,1,1
P17_44S,1/14/2022,156.7972984,74.88564116,0.3,80,50,0.01,1,1
P17_45N,1/14/2022,150.5331377,64.74076968,1.3,80,57.5,0.01,1,1
P17_45S,1/14/2022,168.9398556,89.37688632,0.1,80,57.5,0.01,1,1
P17_46N,1/14/2022,140.5747344,62.97074828,1.3,80,50,0.01,1,1
P17_46S,1/14/2022,156.6063579,87.68631532,0.3,80,50,0.01,1,1
P17_47N,1/14/2022,134.6653824,61.7633098,1,80,65,0.01,1,1
P17_47S,1/14/2022,107.7637609,57.70147056,0.4,80,67.5,0.01,1,1
P17_48N,1/14/2022,88.69708308,35.5831421,3.1,80,77.5,0.01,1,1
P17_48S,1/14/2022,138.4939024,43.91037122,2.1,74,130.25,0.01,1,1
P18_37S,1/14/2022,128.8252136,46.27113093,2.1,86,62.75,2,3,1
P18_38S,1/14/2022,128.9984713,51.98476411,2.2,83.5,60,0.01,1,1
P18_39N,1/14/2022,171.9717292,51.46849333,2.2,80,57.5,0.01,1,1
P18_39S,1/14/2022,155.8904703,64.19174665,0.1,82,50,1,2,1
P18_40N,1/14/2022,179.9417225,57.50958494,2.1,80,65,0.01,1,1
P18_40S,1/14/2022,148.4910398,63.64157442,0.2,80,50,1,2,1
P18_41N,1/14/2022,148.2197251,58.27340125,1.1,80,60,0.01,1,1
P18_41S,1/14/2022,166.6952946,75.79182853,0.3,80,50,0.01,1,1
P18_42N,1/14/2022,160.441543,68.07397379,0.2,80,55,0.01,1,1
P18_43N,1/14/2022,163.4412317,69.30946033,0.1,80,47.75,0.01,1,1
P18_43S,1/14/2022,179.2637979,97.92660616,0.1,80,50,0.01,1,1
P18_44N,1/14/2022,174.3081628,80.70174967,0.1,80,55,0.01,1,1
P18_44S,1/14/2022,192.6167542,110.4013005,0.1,80,52.75,0.01,1,1
P18_45N,1/14/2022,171.3973153,90.34524248,0.2,80,50,0.01,1,1
P18_46N,1/14/2022,158.6077734,88.51547317,0.1,80,50,0.01,1,1
P18_46S,1/14/2022,139.7272965,100.1555776,0.2,80,47.75,0.01,1,1
P18_47N,1/14/2022,114.6186794,59.92115846,0.1,74,47.75,0.01,1,1
P18_47S,1/14/2022,143.6883237,76.68965986,0.1,68,47.75,0.01,1,1
P18_48N,1/14/2022,134.2147781,43.25831417,1.3,65,50,0.01,1,1
P18_48S,1/14/2022,171.8550746,51.03987214,0.2,65,50,0.01,1,1
P18_49S,1/14/2022,128.9846394,29.40932357,2.1,62,47.75,0.01,1,1
P19_37N,1/14/2022,71.11831613,35.76023176,0.3,88,230.25,2,3,1
P19_37S,1/14/2022,75.04906627,45.05322596,1.1,89,77.5,2,3,1
P19_38N,1/14/2022,77.99788244,40.44891663,1.1,90,170,2,3,1
P19_38S,1/14/2022,96.82850092,52.43144886,0.4,88,50,2,3,1
P19_39S,1/14/2022,102.8774864,57.22150713,0.1,83,55.25,2,3,1
P19_40N,1/14/2022,97.33848145,49.57462086,0.1,81.5,55,2,3,1
P19_40S,1/14/2022,104.1920673,63.24298361,1.2,80,50,0.01,1,1
P19_41N,1/14/2022,101.9719254,55.21904332,0.1,80,60,0.01,1,1
P19_41S,1/14/2022,128.5929476,79.2955833,1.3,80,57.5,0.01,1,1
P19_42N,1/14/2022,114.576667,66.45479257,0.1,80,225,0.01,1,1
P19_42S,1/14/2022,139.4289034,93.18493732,0.2,80,50,0.01,1,1
P19_43S,1/14/2022,158.2396631,106.8242643,0.2,80,55,0.01,1,1
P19_44N,1/14/2022,138.0620237,85.59188732,0.2,80,60,0.01,1,1
P19_44S,1/14/2022,154.9200275,115.5741263,0.1,80,52.75,0.01,1,1
P19_45N,1/14/2022,149.290383,96.74082338,0.2,80,50,0.01,1,1
P19_45S,1/14/2022,134.4015148,110.9675321,0.1,80,50,0.01,1,1
P19_46S,1/14/2022,126.0057396,109.8105015,0.1,62,43.25,0.01,1,1
P19_47N,1/14/2022,107.6962076,63.19261631,0.2,62,57.5,0.01,1,1
P19_47S,1/14/2022,113.1158923,67.11026295,0.2,62,43.25,1,2,1
P19_48N,1/14/2022,122.5153231,42.93405584,0.1,74,50,0.01,1,1
P19_48S,1/14/2022,106.5850122,40.69759409,1.2,56,45.5,0.01,1,1
